Date,DIS,GE,GILD,GOOGL,KMI,OIL,T,TSLA,WMT
2011-05-04,42.619999,19.490385,20.665001,268.163177,27.959999,27.959999,31.790001,26.690001,55.369999
2011-05-05,42.689999,19.134615,20.309999,267.402405,27.98,27.98,31.219999,26.440001,55.07
2011-05-06,43.060001,19.240385,20.504999,267.917908,28,28,31.26,27.120001,55.02
2011-05-09,43.099998,19.298077,20.620001,269.1091,28.290001,28.290001,31.35,27.91,55.099998
2011-05-10,43.91,19.51923,20.52,271.601593,28.52,28.52,31.690001,28.33,55.529999
2011-05-11,41.52,19.317308,20.385,267.992981,28.309999,28.309999,31.379999,27.07,55.169998
2011-05-12,41.580002,19.365385,20.645,267.792786,28.450001,28.450001,31.639999,27.67,55.720001
2011-05-13,41.52,19.125,20.6,265.040039,27.93,27.93,31.41,27.549999,55.720001
2011-05-16,40.93,19,20.280001,259.469482,27.540001,27.540001,31.059999,26.6,56.060001
2011-05-17,41.009998,18.836538,20.235001,265.495483,27.5,27.5,31.120001,25.959999,55.540001
2011-05-18,41.419998,19,20.17,265.170166,27.559999,27.559999,31.200001,26.35,55.18
2011-05-19,41.380001,19.192308,20.094999,265.8909,28.290001,28.290001,31.4,28.200001,55.48
2011-05-20,41.5,18.865385,20.49,262.277283,28.5,28.5,31.32,27.969999,55.290001
2011-05-23,41.16,18.64423,20.215,259.454468,28.33,28.33,31.08,26.82,55.220001
2011-05-24,41.09,18.365385,20.209999,259.389404,29.059999,29.059999,31.16,26.719999,54.779999
2011-05-25,41.130001,18.48077,20.24,260.095093,29.02,29.02,31,28.98,54.560001
2011-05-26,40.990002,18.673077,20.450001,259.32431,28.690001,28.690001,31.110001,29.48,54.619999
2011-05-27,41.52,18.692308,20.594999,260.710724,29.18,29.18,31.290001,29.549999,54.700001
2011-05-31,41.630001,18.884615,20.870001,264.77478,29.290001,29.290001,31.559999,30.139999,55.220001
2011-06-01,40.400002,18.39423,20.639999,263.063049,29,29,31.17,28.52,54.299999
2011-06-02,40.060001,18.35577,20.709999,264.294281,29.379999,29.379999,30.969999,28.76,53.549999
2011-06-03,39.380001,18.096153,20.525,261.801788,29.75,29.75,30.65,30.129999,53.66
2011-06-06,39.400002,17.75,20.455,260.790802,29.52,29.52,30.360001,28.700001,53.759998
2011-06-07,39.349998,17.76923,20.514999,259.77478,29.790001,29.790001,30.309999,28.370001,53.830002
2011-06-08,39.23,17.798077,20.575001,259.844849,29.73,29.73,30.34,27.120001,53.689999
2011-06-09,39.369999,17.865385,20.58,258.623627,29.690001,29.690001,30.33,27.620001,53.619999
2011-06-10,38.5,17.615385,20.115,255.01001,29.530001,29.530001,30.34,27.860001,52.720001
2011-06-13,38.369999,17.682692,19.98,252.617615,29.450001,29.450001,30.549999,28.43,52.619999
2011-06-14,38.59,17.884615,19.889999,254.439438,29.5,29.5,30.790001,28.6,52.91
2011-06-15,38.389999,17.682692,19.825001,251.72673,29.360001,29.360001,30.35,27.32,52.32
2011-06-16,38.009998,17.73077,19.825001,250.43544,29.209999,29.209999,30.43,26.5,52.830002
2011-06-17,38.040001,17.778847,19.77,242.752747,29.700001,29.700001,30.77,26.5,52.82
2011-06-20,38.23,17.76923,20.049999,242.532532,29.610001,29.610001,30.959999,26.01,53.040001
